"HPI for Three-Digit ZIP Codes (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,
,,,,,,
"* These annual ZIP3 indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. As discussed in the Working Paper 16-01, in cases where sample sizes are small for the three-digit ZIP Code area, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect the native three-digit ZIP index, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the first three digits of the ZIP code, Column B is the year, Column C is the annual change, Column D is the index value with a base of 100 when first recorded, Column E is the index value with a base of 100 in 1990, and Column F is the index value with a base of 100 in 2000. If a ZIP3 HPI has a missing value in Column D in 1990 or 2000 then the ZIP3 HPI will have blank values in Column E or F, respectively.",,,,,,
"** For tracking and feedback purposes, please cite Working Paper 16-01 when using these data. A suggested form is: Bogin, A., Doerner, W. and Larson, W. (2016). Local House Price Dynamics: New Indices and Stylized Facts. Federal Housing Finance Agency, Working Paper 16-01. The working paper is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,
"Last updated: February 23, 2017.",,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,
Three-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
585,1988,-0.58,167.30,97.11,67.27,
585,1989,1.10,169.14,98.18,68.01,
585,1990,1.85,172.27,100.00,69.27,
585,1991,2.82,177.13,102.82,71.22,
585,1992,2.94,182.34,105.85,73.32,
585,1993,4.77,191.04,110.90,76.81,
585,1994,5.80,202.11,117.32,81.27,
585,1995,4.25,210.70,122.31,84.72,
585,1996,3.97,219.06,127.16,88.08,
585,1997,3.41,226.53,131.50,91.08,
585,1998,2.95,233.21,135.37,93.77,
585,1999,2.65,239.40,138.97,96.26,
585,2000,3.89,248.70,144.37,100.00,
585,2001,3.69,257.89,149.70,103.69,
585,2002,4.54,269.61,156.51,108.41,
585,2003,2.74,277.00,160.79,111.38,
585,2004,5.84,293.17,170.18,117.88,
585,2005,7.64,315.58,183.19,126.89,
585,2006,8.80,343.36,199.32,138.06,
585,2007,6.35,365.18,211.98,146.83,
585,2008,2.65,374.86,217.60,150.72,
585,2009,-0.27,373.83,217.01,150.31,
585,2010,0.95,377.39,219.07,151.74,
585,2011,3.89,392.08,227.59,157.65,
585,2012,8.11,423.89,246.06,170.44,
585,2013,11.36,472.03,274.01,189.80,
585,2014,8.86,513.85,298.29,206.61,
585,2015,4.51,537.01,311.73,215.92,
585,2016,1.11,542.97,315.19,218.32,
586,1979,.,100.00,129.76,76.51,
586,1980,-4.86,95.14,123.46,72.79,
586,1981,.,.,.,.,
586,1982,.,.,.,.,
586,1983,.,.,.,.,
586,1984,.,.,.,.,
586,1985,.,98.52,127.85,75.38,
586,1986,6.36,104.79,135.98,80.17,
586,1987,.,.,.,.,
586,1988,.,62.50,81.10,47.82,
586,1989,44.60,90.38,117.28,69.15,
586,1990,-14.73,77.06,100.00,58.96,
586,1991,14.84,88.50,114.84,67.71,
586,1992,5.84,93.67,121.55,71.66,
586,1993,2.28,95.81,124.32,73.30,
586,1994,6.66,102.19,132.60,78.18,
586,1995,8.40,110.77,143.74,84.75,
586,1996,4.93,116.23,150.82,88.93,
586,1997,5.95,123.15,159.80,94.22,
586,1998,3.98,128.05,166.17,97.97,
586,1999,0.55,128.75,167.07,98.51,
586,2000,1.52,130.71,169.61,100.00,
586,2001,4.66,136.79,177.50,104.66,
586,2002,5.01,143.64,186.39,109.90,
586,2003,3.24,148.30,192.43,113.46,
586,2004,8.30,160.61,208.41,122.88,
586,2005,12.21,180.21,233.85,137.88,
586,2006,9.96,198.16,257.14,151.61,
586,2007,10.31,218.60,283.66,167.25,
586,2008,5.47,230.55,299.17,176.39,
586,2009,1.99,235.15,305.13,179.91,
586,2010,6.12,249.54,323.81,190.92,
586,2011,7.84,269.10,349.19,205.88,
586,2012,14.52,308.17,399.89,235.78,
586,2013,7.86,332.41,431.33,254.32,
586,2014,7.98,358.92,465.75,274.61,
586,2015,4.22,374.06,485.38,286.18,
586,2016,-2.47,364.83,473.42,279.13,
587,1976,.,100.00,65.62,43.71,
587,1977,13.31,113.31,74.36,49.53,
587,1978,11.74,126.62,83.09,55.34,
587,1979,9.64,138.82,91.10,60.68,
587,1980,2.54,142.35,93.42,62.22,
587,1981,-5.16,135.00,88.59,59.01,
587,1982,-19.49,108.69,71.33,47.51,
587,1983,53.53,166.87,109.51,72.94,
587,1984,-15.60,140.83,92.42,61.56,
587,1985,18.21,166.47,109.24,72.76,
587,1986,-2.39,162.49,106.63,71.02,
587,1987,-4.97,154.41,101.33,67.49,
587,1988,0.31,154.89,101.65,67.70,
587,1989,-3.63,149.27,97.96,65.24,
587,1990,2.09,152.38,100.00,66.61,
587,1991,4.81,159.71,104.81,69.81,
587,1992,2.63,163.92,107.57,71.65,
587,1993,6.37,174.36,114.43,76.21,
587,1994,6.35,185.44,121.69,81.05,
587,1995,9.45,202.97,133.20,88.72,
587,1996,4.57,212.24,139.28,92.77,
587,1997,1.33,215.07,141.14,94.01,
587,1998,4.45,224.63,147.41,98.19,
587,1999,-0.49,223.54,146.69,97.71,
587,2000,2.35,228.78,150.14,100.00,
587,2001,2.57,234.65,153.99,102.57,
587,2002,3.49,242.85,159.37,106.15,
587,2003,2.93,249.97,164.04,109.26,
587,2004,6.01,264.99,173.90,115.83,
587,2005,12.95,299.30,196.41,130.82,
587,2006,7.49,321.73,211.13,140.63,
587,2007,4.52,336.26,220.67,146.98,
587,2008,7.31,360.85,236.81,157.73,
587,2009,5.50,380.70,249.83,166.40,
587,2010,7.18,408.02,267.76,178.34,
587,2011,7.25,437.58,287.16,191.27,
587,2012,12.48,492.18,322.99,215.13,
587,2013,7.64,529.80,347.68,231.57,
587,2014,2.36,542.33,355.90,237.05,
587,2015,-0.70,538.55,353.42,235.40,
587,2016,0.73,542.48,356.00,237.12,
588,1986,.,100.00,147.46,90.55,
588,1987,.,.,.,.,
588,1988,.,.,.,.,
588,1989,.,.,.,.,
588,1990,.,67.81,100.00,61.41,
588,1991,41.00,95.62,141.00,86.59,
588,1992,-14.64,81.62,120.36,73.91,
588,1993,13.89,92.96,137.08,84.18,
588,1994,6.25,98.77,145.65,89.44,
588,1995,4.35,103.06,151.98,93.33,
588,1996,2.50,105.64,155.78,95.66,
588,1997,4.34,110.23,162.54,99.81,
588,1998,2.86,113.38,167.18,102.67,
588,1999,-1.33,111.87,164.96,101.30,
588,2000,-1.28,110.43,162.84,100.00,
588,2001,9.41,120.82,178.17,109.41,
588,2002,-0.19,120.59,177.83,109.20,
588,2003,7.10,129.15,190.45,116.95,
588,2004,3.94,134.24,197.96,121.56,
588,2005,11.86,150.16,221.43,135.98,
588,2006,21.60,182.59,269.25,165.34,
588,2007,13.08,206.48,304.47,186.97,
588,2008,12.65,232.60,343.00,210.63,
588,2009,4.29,242.58,357.70,219.66,
588,2010,5.04,254.80,375.73,230.74,
588,2011,19.23,303.80,447.98,275.10,
588,2012,17.60,357.25,526.81,323.51,
588,2013,13.43,405.23,597.55,366.95,
588,2014,7.94,437.40,644.99,396.09,
588,2015,6.20,464.53,685.00,420.65,
588,2016,-7.81,428.26,631.51,387.81,
590,1992,.,100.00,.,60.99,
590,1993,8.76,108.76,.,66.33,
590,1994,13.53,123.48,.,75.31,
590,1995,10.42,136.35,.,83.16,
590,1996,4.03,141.83,.,86.50,
590,1997,4.23,147.83,.,90.16,
590,1998,1.72,150.37,.,91.71,
590,1999,3.75,156.00,.,95.15,
590,2000,5.10,163.96,.,100.00,
590,2001,3.05,168.97,.,103.05,
590,2002,3.96,175.66,.,107.13,
590,2003,3.11,181.12,.,110.47,
590,2004,7.92,195.46,.,119.21,
590,2005,13.18,221.23,.,134.93,
590,2006,11.67,247.05,.,150.67,
590,2007,7.90,266.55,.,162.57,
590,2008,0.91,268.97,.,164.04,
590,2009,-2.44,262.41,.,160.04,
590,2010,-5.32,248.45,.,151.53,
590,2011,-1.08,245.76,.,149.89,
590,2012,-1.05,243.18,.,148.32,
590,2013,2.59,249.47,.,152.15,
590,2014,5.10,262.19,.,159.91,
590,2015,4.69,274.49,.,167.41,
590,2016,5.07,288.40,.,175.90,
591,1975,.,100.00,52.44,33.09,
591,1976,8.13,108.13,56.70,35.78,
591,1977,14.84,124.17,65.11,41.09,
591,1978,17.08,145.38,76.24,48.11,
591,1979,13.52,165.04,86.55,54.61,
591,1980,-0.98,163.43,85.70,54.08,
591,1981,6.37,173.84,91.16,57.53,
591,1982,11.23,193.36,101.40,63.98,
591,1983,-1.98,189.53,99.39,62.72,
591,1984,6.55,201.96,105.91,66.83,
591,1985,1.14,204.26,107.12,67.59,
591,1986,-3.42,197.27,103.45,65.28,
591,1987,-8.25,180.99,94.91,59.89,
591,1988,-0.37,180.32,94.56,59.67,
591,1989,0.10,180.50,94.65,59.73,
591,1990,5.65,190.69,100.00,63.10,
591,1991,4.14,198.60,104.14,65.72,
591,1992,8.57,215.62,113.07,71.35,
591,1993,8.66,234.29,122.86,77.53,
591,1994,4.98,245.96,128.98,81.39,
591,1995,5.37,259.16,135.91,85.76,
591,1996,3.25,267.59,140.32,88.55,
591,1997,3.13,275.96,144.72,91.32,
591,1998,1.77,280.85,147.28,92.93,
591,1999,3.09,289.51,151.82,95.80,
591,2000,4.38,302.20,158.47,100.00,
591,2001,4.12,314.64,165.00,104.12,
591,2002,5.37,331.53,173.85,109.71,
591,2003,5.07,348.34,182.67,115.27,
591,2004,8.40,377.60,198.01,124.95,
591,2005,10.26,416.35,218.34,137.78,
591,2006,6.63,443.94,232.80,146.90,
591,2007,5.43,468.05,245.44,154.88,
591,2008,3.03,482.24,252.89,159.58,
591,2009,-0.96,477.62,250.46,158.05,
591,2010,-1.15,472.13,247.59,156.23,
591,2011,-1.37,465.64,244.18,154.08,
591,2012,1.72,473.64,248.38,156.73,
591,2013,4.90,496.84,260.54,164.41,
591,2014,3.66,515.01,270.07,170.42,
591,2015,3.46,532.83,279.42,176.32,
591,2016,2.52,546.23,286.44,180.75,
592,1995,.,100.00,.,90.60,
592,1996,5.76,105.76,.,95.82,
592,1997,2.16,108.04,.,97.88,
592,1998,2.91,111.18,.,100.73,
592,1999,-1.36,109.67,.,99.36,
592,2000,0.64,110.37,.,100.00,
592,2001,2.24,112.84,.,102.24,
592,2002,3.68,117.00,.,106.00,
592,2003,7.29,125.53,.,113.73,
592,2004,5.06,131.88,.,119.49,
592,2005,9.04,143.81,.,130.29,
592,2006,12.95,162.43,.,147.16,
592,2007,9.70,178.18,.,161.43,
592,2008,6.01,188.89,.,171.13,
592,2009,3.01,194.57,.,176.28,
592,2010,2.86,200.13,.,181.32,
592,2011,9.74,219.62,.,198.98,
592,2012,19.07,261.50,.,236.92,
592,2013,6.50,278.50,.,252.33,
592,2014,10.40,307.47,.,278.57,
592,2015,1.34,311.58,.,282.29,
592,2016,-0.30,310.65,.,281.45,
593,1992,.,100.00,.,76.41,
593,1993,6.79,106.79,.,81.60,
593,1994,6.21,113.42,.,86.67,
593,1995,3.46,117.34,.,89.66,
593,1996,3.79,121.78,.,93.06,
593,1997,-2.18,119.13,.,91.03,
593,1998,1.60,121.04,.,92.49,
593,1999,6.01,128.31,.,98.05,
593,2000,1.99,130.87,.,100.00,
593,2001,0.97,132.14,.,100.97,
593,2002,3.08,136.21,.,104.08,
593,2003,4.02,141.68,.,108.26,
593,2004,7.97,152.98,.,116.89,
593,2005,10.43,168.93,.,129.08,
593,2006,13.94,192.48,.,147.08,
593,2007,10.54,212.77,.,162.58,
593,2008,4.41,222.15,.,169.75,
593,2009,0.95,224.27,.,171.37,
593,2010,0.15,224.60,.,171.62,
593,2011,2.15,229.43,.,175.31,
593,2012,13.05,259.37,.,198.19,
593,2013,7.09,277.75,.,212.24,
593,2014,9.05,302.88,.,231.44,
593,2015,2.84,311.48,.,238.01,
593,2016,-2.30,304.31,.,232.53,
594,1976,.,100.00,54.60,36.23,
594,1977,23.83,123.83,67.61,44.86,
594,1978,5.47,130.61,71.31,47.32,
594,1979,9.77,143.37,78.27,51.94,
594,1980,6.36,152.49,83.25,55.24,
594,1981,.,.,.,.,
594,1982,.,.,.,.,
594,1983,.,.,.,.,
594,1984,.,165.56,90.39,59.98,
594,1985,6.49,176.31,96.26,63.87,
594,1986,-2.76,171.44,93.60,62.11,
594,1987,-3.81,164.90,90.03,59.74,
594,1988,5.19,173.46,94.70,62.84,
594,1989,5.93,183.75,100.32,66.57,
594,1990,-0.32,183.16,100.00,66.36,
594,1991,2.21,187.21,102.21,67.82,
594,1992,6.75,199.84,109.10,72.40,
594,1993,5.32,210.46,114.90,76.25,
594,1994,5.66,222.36,121.40,80.56,
594,1995,5.40,234.37,127.96,84.91,
594,1996,5.60,247.48,135.12,89.66,
594,1997,3.67,256.56,140.07,92.95,
594,1998,3.19,264.73,144.53,95.91,
594,1999,1.11,267.68,146.15,96.98,
594,2000,3.12,276.03,150.70,100.00,
594,2001,3.36,285.32,155.77,103.36,
594,2002,2.46,292.34,159.61,105.91,
594,2003,2.05,298.34,162.88,108.08,
594,2004,4.32,311.23,169.92,112.75,
594,2005,9.44,340.63,185.97,123.40,
594,2006,8.18,368.50,201.19,133.50,
594,2007,6.98,394.23,215.24,142.82,
594,2008,2.87,405.55,221.41,146.92,
594,2009,-0.43,403.79,220.46,146.29,
594,2010,-1.87,396.26,216.34,143.56,
594,2011,-0.65,393.69,214.94,142.63,
594,2012,2.32,402.82,219.92,145.93,
594,2013,3.59,417.29,227.83,151.18,
594,2014,1.62,424.06,231.52,153.63,
594,2015,1.25,429.34,234.40,155.54,
594,2016,3.53,444.48,242.67,161.03,
595,1986,.,100.00,100.07,70.70,
595,1987,7.75,107.75,107.83,76.18,
595,1988,-12.73,94.04,94.11,66.48,
595,1989,1.85,95.78,95.85,67.71,
595,1990,4.33,99.93,100.00,70.65,
595,1991,8.09,108.01,108.09,76.36,
595,1992,-1.35,106.55,106.63,75.33,
595,1993,2.91,109.66,109.74,77.53,
595,1994,4.71,114.82,114.90,81.18,
595,1995,14.41,131.37,131.47,92.88,
595,1996,4.47,137.24,137.34,97.03,
595,1997,2.07,140.08,140.18,99.03,
595,1998,2.40,143.44,143.54,101.41,
595,1999,0.66,144.39,144.49,102.08,
595,2000,-2.04,141.45,141.55,100.00,
595,2001,5.93,149.84,149.94,105.93,
595,2002,1.73,152.43,152.54,107.77,
595,2003,2.12,155.66,155.77,110.05,
595,2004,5.94,164.92,165.04,116.59,
595,2005,9.24,180.15,180.28,127.36,
595,2006,14.92,207.04,207.19,146.37,
595,2007,3.60,214.49,214.65,151.64,
595,2008,4.55,224.26,224.42,158.55,
595,2009,-1.59,220.70,220.85,156.03,
595,2010,1.31,223.59,223.75,158.08,
595,2011,-1.77,219.64,219.80,155.28,
595,2012,5.99,232.80,232.96,164.58,
595,2013,3.85,241.77,241.94,170.92,
595,2014,5.90,256.02,256.21,181.00,
595,2015,1.45,259.74,259.93,183.63,
595,2016,3.93,269.95,270.14,190.85,
596,1976,.,100.00,58.50,33.47,
596,1977,9.22,109.22,63.89,36.55,
596,1978,14.25,124.78,73.00,41.76,
596,1979,3.66,129.35,75.67,43.29,
596,1980,6.71,138.03,80.75,46.20,
596,1981,7.47,148.35,86.78,49.65,
596,1982,.,.,.,.,
596,1983,.,144.80,84.71,48.46,
596,1984,12.78,163.30,95.53,54.65,
596,1985,-3.93,156.88,91.78,52.51,
596,1986,8.98,170.97,100.02,57.22,
596,1987,-1.54,168.33,98.47,56.34,
596,1988,-3.28,162.81,95.25,54.49,
596,1989,1.95,165.99,97.11,55.55,
596,1990,2.98,170.94,100.00,57.21,
596,1991,8.38,185.26,108.38,62.00,
596,1992,5.49,195.42,114.32,65.40,
596,1993,9.22,213.44,124.86,71.43,
596,1994,10.39,235.61,137.83,78.85,
596,1995,9.64,258.31,151.11,86.45,
596,1996,4.95,271.08,158.59,90.72,
596,1997,3.85,281.51,164.68,94.21,
596,1998,0.74,283.58,165.90,94.91,
596,1999,2.65,291.10,170.29,97.42,
596,2000,2.65,298.80,174.80,100.00,
596,2001,4.12,311.10,182.00,104.12,
596,2002,3.08,320.68,187.60,107.32,
596,2003,1.87,326.67,191.11,109.33,
596,2004,5.83,345.71,202.24,115.70,
596,2005,12.31,388.26,227.14,129.94,
596,2006,14.98,446.41,261.15,149.40,
596,2007,10.19,491.88,287.75,164.62,
596,2008,1.05,497.03,290.76,166.34,
596,2009,-1.86,487.77,285.35,163.24,
596,2010,-3.95,468.52,274.09,156.80,
596,2011,-1.93,459.49,268.80,153.78,
596,2012,0.30,460.87,269.61,154.24,
596,2013,1.72,468.80,274.25,156.90,
596,2014,2.08,478.55,279.96,160.16,
596,2015,3.31,494.40,289.23,165.46,
596,2016,3.26,510.53,298.67,170.86,
597,1978,.,100.00,69.47,37.80,
597,1979,2.75,102.75,71.37,38.84,
597,1980,14.28,117.42,81.57,44.39,
597,1981,-9.00,106.85,74.23,40.39,
597,1982,-3.54,103.07,71.60,38.96,
597,1983,25.72,129.58,90.02,48.98,
597,1984,2.50,132.82,92.26,50.21,
597,1985,-4.97,126.22,87.68,47.71,
597,1986,0.28,126.58,87.93,47.85,
597,1987,-1.45,124.74,86.65,47.15,
597,1988,3.00,128.48,89.25,48.57,
597,1989,7.29,137.86,95.76,52.11,
597,1990,4.43,143.96,100.00,54.42,
597,1991,9.30,157.34,109.30,59.48,
597,1992,7.11,168.53,117.07,63.71,
597,1993,8.75,183.27,127.31,69.28,
597,1994,12.16,205.56,142.79,77.70,
597,1995,7.25,220.47,153.15,83.34,
597,1996,3.74,228.72,158.88,86.46,
597,1997,3.32,236.32,164.16,89.33,
597,1998,2.82,242.98,168.79,91.85,
597,1999,2.43,248.89,172.89,94.08,
597,2000,6.29,264.54,183.77,100.00,
597,2001,3.99,275.09,191.09,103.99,
597,2002,4.73,288.11,200.14,108.91,
597,2003,4.07,299.83,208.28,113.34,
597,2004,9.57,328.51,228.20,124.18,
597,2005,16.15,381.57,265.06,144.24,
597,2006,13.31,432.36,300.34,163.44,
597,2007,5.43,455.86,316.67,172.32,
597,2008,-0.77,452.36,314.23,170.99,
597,2009,-5.18,428.90,297.94,162.13,
597,2010,-7.95,394.82,274.26,149.25,
597,2011,-4.28,377.93,262.53,142.86,
597,2012,-0.60,375.66,260.95,142.00,
597,2013,6.62,400.54,278.24,151.41,
597,2014,5.91,424.21,294.68,160.36,
597,2015,5.48,447.45,310.83,169.14,
597,2016,6.62,477.07,331.40,180.33,
598,1975,.,100.00,46.55,24.36,
598,1976,13.06,113.06,52.63,27.54,
598,1977,14.73,129.71,60.38,31.60,
598,1978,23.93,160.76,74.83,39.16,
598,1979,9.62,176.22,82.03,42.92,
598,1980,8.69,191.54,89.17,46.66,
598,1981,-10.80,170.86,79.54,41.62,
598,1982,-7.61,157.86,73.49,38.45,
598,1983,16.91,184.56,85.92,44.96,
598,1984,11.46,205.72,95.76,50.11,
598,1985,-12.11,180.80,84.16,44.04,
598,1986,6.53,192.60,89.66,46.91,
598,1987,1.79,196.04,91.26,47.75,
598,1988,2.71,201.36,93.74,49.05,
598,1989,0.36,202.08,94.07,49.22,
598,1990,6.30,214.82,100.00,52.32,
598,1991,7.85,231.68,107.85,56.43,
598,1992,9.61,253.93,118.21,61.85,
598,1993,10.72,281.16,130.88,68.49,
598,1994,11.04,312.21,145.34,76.05,
598,1995,9.40,341.55,159.00,83.19,
598,1996,4.79,357.92,166.62,87.18,
598,1997,2.87,368.19,171.40,89.68,
598,1998,2.85,378.71,176.29,92.25,
598,1999,2.98,389.98,181.54,94.99,
598,2000,5.27,410.54,191.11,100.00,
598,2001,5.33,432.42,201.30,105.33,
598,2002,5.86,457.77,213.10,111.50,
598,2003,6.04,485.43,225.97,118.24,
598,2004,10.65,537.15,250.05,130.84,
598,2005,11.32,597.94,278.35,145.65,
598,2006,10.62,661.45,307.91,161.12,
598,2007,5.58,698.37,325.10,170.11,
598,2008,0.11,699.14,325.46,170.30,
598,2009,-3.26,676.32,314.84,164.74,
598,2010,-5.37,640.00,297.93,155.89,
598,2011,-4.72,609.79,283.87,148.53,
598,2012,0.01,609.85,283.89,148.55,
598,2013,1.31,617.86,287.62,150.50,
598,2014,3.75,641.05,298.42,156.15,
598,2015,3.17,661.37,307.88,161.10,
598,2016,4.20,689.17,320.82,167.87,
599,1975,.,100.00,37.81,24.58,
599,1976,11.77,111.77,42.26,27.47,
599,1977,22.37,136.77,51.71,33.62,
599,1978,15.08,157.40,59.51,38.69,
599,1979,17.95,185.65,70.19,45.63,
599,1980,-1.91,182.11,68.85,44.76,
599,1981,34.57,245.07,92.65,60.24,
599,1982,.,.,.,.,
599,1983,.,176.04,66.56,43.27,
599,1984,23.06,216.64,81.91,53.25,
599,1985,-1.54,213.30,80.65,52.43,
599,1986,2.50,218.63,82.66,53.74,
599,1987,-4.71,208.33,78.77,51.21,
599,1988,11.70,232.71,87.98,57.20,
599,1989,1.17,235.44,89.01,57.87,
599,1990,12.34,264.50,100.00,65.01,
599,1991,0.25,265.16,100.25,65.18,
599,1992,4.91,278.19,105.18,68.38,
599,1993,10.96,308.67,116.70,75.87,
599,1994,10.02,339.59,128.39,83.47,
599,1995,6.79,362.66,137.11,89.14,
599,1996,1.89,369.50,139.70,90.82,
599,1997,1.86,376.37,142.29,92.51,
599,1998,1.14,380.65,143.91,93.56,
599,1999,2.77,391.19,147.90,96.15,
599,2000,4.00,406.84,153.81,100.00,
599,2001,6.17,431.92,163.30,106.17,
599,2002,5.32,454.92,171.99,111.82,
599,2003,5.72,480.96,181.84,118.22,
599,2004,11.98,538.58,203.63,132.38,
599,2005,15.55,622.34,235.29,152.97,
599,2006,13.24,704.76,266.45,173.23,
599,2007,6.39,749.80,283.48,184.30,
599,2008,0.41,752.86,284.64,185.05,
599,2009,-5.68,710.12,268.48,174.55,
599,2010,-9.27,644.30,243.60,158.37,
599,2011,-6.56,602.02,227.61,147.98,
599,2012,-1.66,592.05,223.84,145.52,
599,2013,2.17,604.88,228.69,148.68,
599,2014,7.58,650.72,246.02,159.95,
599,2015,3.27,672.02,254.07,165.18,
599,2016,4.57,702.72,265.68,172.73,
600,1975,.,100.00,34.31,24.51,
600,1976,12.75,112.75,38.68,27.63,
600,1977,16.41,131.25,45.03,32.17,
600,1978,14.85,150.75,51.72,36.95,
600,1979,1.62,153.19,52.56,37.54,
600,1980,-0.23,152.84,52.44,37.46,
600,1981,8.96,166.53,57.14,40.81,
600,1982,-1.71,163.68,56.16,40.12,
600,1983,4.88,171.67,58.90,42.08,
600,1984,6.53,182.88,62.75,44.82,
600,1985,6.22,194.25,66.65,47.61,
600,1986,6.56,206.99,71.02,50.73,
600,1987,10.34,228.39,78.36,55.98,
600,1988,12.28,256.44,87.99,62.85,
600,1989,8.51,278.26,95.47,68.20,
600,1990,4.74,291.46,100.00,71.43,
600,1991,3.10,300.50,103.10,73.65,
600,1992,2.45,307.86,105.63,75.45,
600,1993,2.37,315.17,108.14,77.25,
600,1994,3.25,325.41,111.65,79.75,
600,1995,3.74,337.59,115.83,82.74,
600,1996,2.44,345.85,118.66,84.76,
600,1997,2.68,355.13,121.85,87.04,
600,1998,2.06,362.43,124.35,88.83,
600,1999,3.67,375.73,128.91,92.09,
600,2000,8.59,408.01,139.99,100.00,
600,2001,6.52,434.61,149.12,106.52,
600,2002,5.98,460.60,158.04,112.89,
600,2003,3.61,477.24,163.74,116.97,
600,2004,7.73,514.12,176.40,126.01,
600,2005,9.73,564.17,193.57,138.27,
600,2006,5.91,597.50,205.00,146.44,
600,2007,0.14,598.31,205.28,146.64,
600,2008,-4.22,573.06,196.62,140.45,
600,2009,-11.01,509.98,174.98,124.99,
600,2010,-9.18,463.14,158.91,113.51,
600,2011,-6.37,433.62,148.78,106.28,
600,2012,-3.94,416.54,142.92,102.09,
600,2013,1.26,421.77,144.71,103.37,
600,2014,6.69,449.97,154.39,110.28,
600,2015,2.78,462.50,158.69,113.35,
600,2016,2.50,474.05,162.65,116.19,
601,1975,.,100.00,36.69,26.34,
601,1976,10.70,110.70,40.62,29.16,
601,1977,15.30,127.63,46.83,33.62,
601,1978,16.36,148.51,54.49,39.12,
601,1979,6.11,157.58,57.82,41.51,
601,1980,1.06,159.26,58.43,41.95,
601,1981,6.53,169.65,62.25,44.69,
601,1982,-8.12,155.88,57.20,41.06,
601,1983,9.01,169.92,62.35,44.76,
601,1984,4.83,178.12,65.36,46.92,
601,1985,4.70,186.48,68.42,49.13,
601,1986,6.57,198.73,72.92,52.35,
601,1987,9.49,217.59,79.84,57.32,
601,1988,10.93,241.37,88.56,63.58,
601,1989,7.88,260.39,95.54,68.59,
601,1990,4.67,272.54,100.00,71.80,
601,1991,2.76,280.06,102.76,73.78,
601,1992,2.14,286.05,104.96,75.36,
601,1993,2.21,292.37,107.28,77.02,
601,1994,3.38,302.25,110.90,79.62,
601,1995,4.33,315.33,115.70,83.07,
601,1996,2.27,322.50,118.33,84.96,
601,1997,2.80,331.53,121.65,87.34,
601,1998,2.05,338.33,124.14,89.13,
601,1999,3.78,351.12,128.83,92.50,
601,2000,8.11,379.61,139.29,100.00,
601,2001,6.20,403.14,147.92,106.20,
601,2002,6.37,428.82,157.34,112.96,
601,2003,4.32,447.35,164.14,117.85,
601,2004,8.66,486.08,178.35,128.05,
601,2005,9.98,534.61,196.16,140.83,
601,2006,5.90,566.15,207.73,149.14,
601,2007,0.62,569.67,209.02,150.07,
601,2008,-5.09,540.69,198.39,142.43,
601,2009,-10.42,484.33,177.71,127.59,
601,2010,-8.98,440.86,161.76,116.14,
601,2011,-7.30,408.66,149.95,107.65,
601,2012,-4.64,389.69,142.99,102.66,
601,2013,1.10,393.99,144.56,103.79,
601,2014,6.06,417.85,153.32,110.07,
601,2015,3.12,430.87,158.09,113.50,
601,2016,3.36,445.34,163.40,117.32,
602,1978,.,100.00,45.01,29.67,
602,1979,0.72,100.72,45.33,29.88,
602,1980,-2.11,98.60,44.38,29.25,
602,1981,8.56,107.04,48.18,31.76,
602,1982,1.33,108.47,48.82,32.18,
602,1983,5.04,113.93,51.28,33.80,
602,1984,9.03,124.22,55.91,36.85,
602,1985,8.10,134.29,60.44,39.84,
602,1986,6.64,143.20,64.45,42.48,
602,1987,13.10,161.97,72.89,48.05,
602,1988,19.95,194.28,87.44,57.64,
602,1989,7.88,209.60,94.33,62.18,
602,1990,6.01,222.20,100.00,65.92,
602,1991,1.01,224.45,101.01,66.58,
602,1992,2.79,230.70,103.83,68.44,
602,1993,1.73,234.70,105.63,69.63,
602,1994,2.03,239.46,107.77,71.04,
602,1995,4.49,250.22,112.61,74.23,
602,1996,3.21,258.24,116.22,76.61,
602,1997,3.90,268.31,120.75,79.60,
602,1998,2.93,276.16,124.29,81.93,
602,1999,7.43,296.67,133.52,88.01,
602,2000,13.62,337.09,151.71,100.00,
602,2001,6.71,359.71,161.89,106.71,
602,2002,7.42,386.41,173.90,114.63,
602,2003,4.18,402.56,181.17,119.42,
602,2004,8.09,435.12,195.83,129.08,
602,2005,11.05,483.22,217.47,143.35,
602,2006,7.42,519.09,233.62,153.99,
602,2007,0.90,523.76,235.72,155.38,
602,2008,-2.37,511.35,230.14,151.70,
602,2009,-8.76,466.58,209.98,138.41,
602,2010,-8.08,428.88,193.02,127.23,
602,2011,-3.91,412.12,185.48,122.26,
602,2012,-2.19,403.09,181.41,119.58,
602,2013,2.63,413.67,186.18,122.72,
602,2014,6.71,441.45,198.68,130.96,
602,2015,2.92,454.32,204.47,134.78,
